function_id,round,source,x1,x2,x3,x4,x5,x6,x7,x8,y
1,6,kaggle,0.337237,0.996910,0,0,0,0,0,0,-3.804856906004179e-154
2,6,kaggle,0.067733,0.787693,0,0,0,0,0,0,0.030560624902781906
3,6,kaggle,0.936516,0.061274,0.905310,0,0,0,0,0,-0.16504019029582775
4,6,kaggle,0.540007,0.651491,0.876118,0.904768,0,0,0,0,-25.154033310264733
5,6,kaggle,0.986591,0.866088,0.978811,0.997373,0,0,0,0,6065.515500492326
6,6,kaggle,0.960656,0.921233,0.983204,0.599471,0.580645,0,0,0,-2.0513280570712826
7,6,kaggle,0.892708,0.337677,0.455479,0.154563,0.252607,0.772069,0,0,0.5561292296247439
8,6,kaggle,0.847919,0.003019,0.214552,0.880983,0.264558,0.377411,0.951575,0.945687,7.003790614066101
